name,party,state,donation,chamber,district
"Alexander, Lamar",Republican,TN,86400,senate,na
"Barrasso, John",Republican,WY,63000,senate,na
"Blunt, Roy",Republican,MO,185550,senate,na
"Boozman, John",Republican,AR,56450,senate,na
"Burr, Richard",Republican,NC,58500,senate,na
"Capito, Shelley",Republican,WV,24675,senate,na
"Cassidy, Bill",Republican,LA,34909,senate,na
"Cochran, Thad",Republican,MS,123750,senate,na
"Collins, Susan",Republican,ME,57550,senate,na
"Corker, Bob",Republican,TN,43600,senate,na
"Cornyn, John",Republican,TX,148800,senate,na
"Cotton, Tom",Republican,AR,70025,senate,na
"Crapo, Mike",Republican,ID,11000,senate,na
"Cruz, Ted",Republican,TX,40840,senate,na
"Daines, Steve",Republican,MT,38700,senate,na
"Enzi, Mike",Republican,WY,45100,senate,na
"Ernst, Joni",Republican,IA,28200,senate,na
"Fischer, Debra",Republican,NE,21850,senate,na
"Flake, Jeff",Republican,AZ,27955,senate,na
"Gardner, Cory",Republican,CO,95023,senate,na
"Graham, Lindsey",Republican,SC,74522,senate,na
"Grassley, Chuck",Republican,IA,135125,senate,na
"Hatch, Orrin",Republican,UT,106750,senate,na
"Heller, Dean",Republican,NV,78950,senate,na
"Hoeven, John",Republican,ND,25800,senate,na
"Inhofe, Jim",Republican,OK,38000,senate,na
"Johnson, Ron",Republican,WI,123652,senate,na
"Kennedy, John",Republican,LA,1000,senate,na
"Lankford, James",Republican,OK,21000,senate,na
"Lee, Mike",Republican,UT,60913,senate,na
"McCain, John",Republican,AZ,84125,senate,na
"McConnell, Mitch",Republican,KY,251110,senate,na
"Moran, Jerry",Republican,KS,130950,senate,na
"Murkowski, Lisa",Republican,AK,66250,senate,na
"Perdue, David",Republican,GA,37000,senate,na
"Portman, Rob",Republican,OH,89350,senate,na
"Risch, Jim",Republican,ID,27000,senate,na
"Roberts, Pat",Republican,KS,100200,senate,na
"Rounds, Mike",Republican,SD,40166,senate,na
"Rubio, Marco",Republican,FL,75535,senate,na
"Sasse, Benjamin",Republican,NE,31800,senate,na
"Scott, Tim",Republican,SC,60200,senate,na
"Shelby, Richard",Republican,AL,27000,senate,na
"Strange, Luther",Republican,AL,0,senate,na
"Sullivan, Daniel",Republican,AK,10550,senate,na
"Thune, John",Republican,SD,215000,senate,na
"Tillis, Thom",Republican,NC,41220,senate,na
"Toomey, Patrick",Republican,PA,143456,senate,na
"Wicker, Roger",Republican,MS,151800,senate,na
"Young, Todd",Republican,IN,28670,senate,na
"Abraham, Ralph",Republican,LA,5750,house,5th
"Aderholt, Robert",Republican,AL,26500,house,4th
"Allen, Rick",Republican,GA,9500,house,12th
"Amodei, Mark",Republican,NV,22000,house,2nd
"Arrington, Jodey",Republican,TX,8450,house,19th
"Babin, Brian",Republican,TX,8000,house,36th
"Bacon, Donald",Republican,NE,7000,house,2nd
"Banks, Jim",Republican,IN,12100,house,3rd
"Barletta, Lou",Republican,PA,14700,house,11th
"Barr, Andy",Republican,KY,28400,house,6th
"Barton, Joe",Republican,TX,39750,house,6th
"Bergman, Jack",Republican,MI,21200,house,1st
"Biggs, Andy",Republican,AZ,5000,house,5th
"Bilirakis, Gus",Republican,FL,55000,house,12th
"Bishop, Mike",Republican,MI,40500,house,8th
"Bishop, Rob",Republican,UT,5500,house,1st
"Black, Diane",Republican,TN,27750,house,6th
"Blackburn, Marsha",Republican,TN,84000,house,7th
"Blum, Rodney",Republican,IA,5500,house,1st
"Bost, Mike",Republican,IL,29750,house,12th
"Brady, Kevin",Republican,TX,20000,house,8th
"Brat, David",Republican,VA,6000,house,7th
"Bridenstine, Jim",Republican,OK,1000,house,1st
"Brooks, Susan",Republican,IN,44300,house,5th
"Buchanan, Vern",Republican,FL,18900,house,16th
"Buck, Ken",Republican,CO,15750,house,4th
"Bucshon, Larry",Republican,IN,33000,house,8th
"Budd, Theodore",Republican,NC,10000,house,13th
"Burgess, Michael",Republican,TX,39500,house,26th
"Byrne, Bradley",Republican,AL,17500,house,1st
"Calvert, Ken",Republican,CA,12000,house,42nd
"Carter, Buddy",Republican,GA,12250,house,1st
"Carter, John",Republican,TX,22500,house,31st
"Chabot, Steven",Republican,OH,25500,house,1st
"Chaffetz, Jason",Republican,UT,38100,house,3rd
"Cheney, Liz",Republican,WY,18400,house,1st
"Cole, Tom",Republican,OK,14000,house,4th
"Collins, Doug",Republican,GA,42850,house,9th
"Collins, Chris",Republican,NY,57500,house,27th
"Comer, James",Republican,KY,14750,house,1st
"Comstock, Barbara",Republican,VA,56457,house,10th
"Conaway, Mike",Republican,TX,18500,house,11th
"Cook, Paul",Republican,CA,15000,house,8th
"Costello, Ryan",Republican,PA,38750,house,6th
"Cramer, Kevin",Republican,ND,71750,house,1st
"Crawford, Eric",Republican,AR,9000,house,1st
"Culberson, John",Republican,TX,8000,house,7th
"Curbelo, Carlos",Republican,FL,45700,house,26th
