ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412411, 0.843310300005, 0.651870337464, Ross, Republican, rank-and-file Republican, 20, 189, 201, 321
400116, 0.84999056954, 0.523859037516, Duncan [TN2], Republican, rank-and-file Republican, 16, 167, 62, 85
412510, 0.950313822715, 0.498126021331, LaMalfa, Republican, conservative Republican, 12, 272, 98, 137
412309, 0.861934826323, 0.833486803684, Posey, Republican, conservative Republican leader, 26, 199, 182, 241
412209, 0.431131567943, 0.426572708197, Loebsack, Democrat, centrist Democrat, 19, 304, 68, 82
412537, 0.420007096398, 0.502228552535, Bustos, Democrat, centrist Democrat, 16, 225, 117, 203
400251, 0.249373878943, 0.883149030965, Maloney [NY12], Democrat, moderate Democratic leader, 39, 339, 260, 1063
412250, 0.777014423756, 0.795199321991, Bilirakis, Republican, moderate Republican leader, 28, 227, 187, 282
412282, 0.356104938838, 0.357958955719, Himes, Democrat, rank-and-file Democrat, 12, 251, 100, 144
412331, 0.268748124535, 0.481181205695, Quigley, Democrat, rank-and-file Democrat, 18, 356, 171, 357
412212, 0.312172907276, 0.48833096735, Sarbanes, Democrat, rank-and-file Democrat, 5, 195, 166, 203
400371, 0.401274371674, 0.359520828943, Sherman, Democrat, centrist Democrat, 6, 269, 69, 88
412571, 0.250290874953, 0.824654327689, Cartwright, Democrat, moderate Democratic leader, 50, 345, 231, 858
400004, 0.77021590843, 0.229398301264, Aderholt, Republican, moderate Republican follower, 3, 100, 5, 5
400616, 0.327721702561, 0.545804876629, Butterfield, Democrat, rank-and-file Democrat, 3, 244, 26, 26
412236, 0.168749534394, 0.676270975659, Cohen, Democrat, progressive Democratic leader, 31, 754, 253, 694
412272, 0.320452134994, 0.687910587366, Connolly, Democrat, moderate Democratic leader, 20, 392, 277, 564
400648, 0.633279933154, 0.833184767839, Dent, Republican, centrist Republican leader, 9, 119, 358, 683
